setup,date,time,counts,duration,pressure,temp,humidity
4,7,11.66,110,5,1027.1,19,37
3,7,11.77,96,5,1027.1,19,43
4,7,11.77,101,5,1027.1,19,43
3,7,11.85,75,5,1027.1,19,43
4,7,11.85,114,5,1027.1,19,43
3,7,11.95,92,5,1027.1,19,43
4,7,11.95,101,5,1027.1,19,43
3,7,12.03,95,5,1026.8,19,46
4,7,12.03,110,5,1026.8,19,46
3,7,12.15,102,5,1026.8,19,46
4,7,12.15,103,5,1026.8,19,46
3,7,12.22,86,5,1026.8,19,46
4,7,12.22,95,5,1026.8,19,46
3,7,12.33,88,5,1026.8,19,46
4,7,12.33,106,5,1026.8,19,46
3,7,12.42,97,5,1026.8,19,46
4,7,12.42,88,5,1026.8,19,46
3,7,12.5,80,5,1026.8,19,46
4,7,12.5,80,5,1026.8,19,46
3,7,12.58,81,5,1026.4,19,46
4,7,12.58,76,5,1026.4,19,46
3,24,19.67,96,5,1012.2,21,64
4,24,19.67,107,5,1012.2,21,64
3,24,19.75,85,5,1012.2,21,64
4,24,19.75,83,5,1012.2,21,64
3,24,19.83,87,5,1012.2,21,64
4,24,19.83,108,5,1012.2,21,64
3,24,19.97,94,5,1012.2,21,64
4,24,19.97,89,5,1012.2,21,64
3,24,20.05,104,5,1012.2,21,64
4,24,20.05,107,5,1012.2,21,64
3,24,20.13,91,5,1012.2,21,64
4,24,20.13,98,5,1012.2,21,64
3,24,20.22,94,5,1012.2,21,64
4,24,20.22,118,5,1012.2,21,64
3,24,20.3,79,5,1012.2,21,64
4,24,20.3,86,5,1012.2,21,64
3,24,20.4,100,5,1012.5,21,64
4,24,20.4,99,5,1012.5,21,64
3,26,19.5,97,5,1016.9,18,46
4,26,19.5,94,5,1016.9,18,46
3,26,19.58,91,5,1017.3,17,52
4,26,19.58,89,5,1017.3,17,52
3,26,19.67,92,5,1017.3,17,52
4,26,19.67,82,5,1017.3,17,52
3,26,19.75,94,5,1017.3,17,52
4,26,19.75,81,5,1017.3,17,52
3,26,19.83,87,5,1017.3,17,52
4,26,19.83,91,5,1017.3,17,52
3,26,19.97,97,5,1017.3,17,52
4,26,19.97,83,5,1017.3,17,52
3,26,20.05,103,5,1017.3,17,52
4,26,20.05,87,5,1017.3,17,52
3,26,20.13,74,5,1016.9,16,55
4,26,20.13,107,5,1016.9,16,55
3,26,20.22,96,5,1016.9,16,55
4,26,20.22,100,5,1016.9,16,55
3,26,20.3,92,5,1016.9,16,55
4,26,20.3,142,5,1016.9,16,55
3,26,20.4,98,5,1016.9,16,55
4,26,20.4,109,5,1016.9,16,55
3,27,23.42,89,5,1005.1,22,94
4,27,23.42,108,5,1005.1,22,94
3,27,23.5,102,5,1004.4,21,94
4,27,23.5,100,5,1004.4,21,94
3,27,23.58,85,5,1004.4,21,94
4,27,23.58,101,5,1004.4,21,94
3,27,23.67,104,5,1004.4,20,94
4,27,23.67,117,5,1004.4,20,94
3,27,23.75,91,5,1004.4,20,94
4,27,23.75,113,5,1004.4,20,94
3,27,23.83,105,5,1004.4,20,94
4,27,23.83,109,5,1004.4,20,94
3,27,23.92,112,5,1004.7,20,94
4,27,23.92,91,5,1004.7,20,94
3,27,24,101,5,1004.7,20,94
4,27,24,103,5,1004.7,20,94
3,27,24.08,97,5,1004.7,20,94
4,27,24.08,102,5,1004.7,20,94
3,27,24.17,100,5,1004.7,20,94
4,27,24.17,101,5,1004.7,20,94
3,32,19.58,91,5,1006.1,23,50
4,32,19.58,104,5,1006.1,23,50
3,32,19.67,106,5,1006.1,23,50
4,32,19.67,108,5,1006.1,23,50
3,32,19.75,82,5,1006.1,23,50
4,32,19.75,85,5,1006.1,23,50
3,32,19.83,83,5,1006.1,23,50
4,32,19.83,122,5,1006.1,23,50
3,32,19.97,91,5,1006.1,23,50
4,32,19.97,107,5,1006.1,23,50
3,32,20.05,101,5,1006.4,22,53
4,32,20.05,115,5,1006.4,22,53
3,32,20.13,92,5,1006.4,22,53
4,32,20.13,91,5,1006.4,22,53
3,32,20.22,112,5,1006.4,22,53
4,32,20.22,105,5,1006.4,22,53
3,32,20.3,95,5,1006.4,22,53
4,32,20.3,112,5,1006.4,22,53
3,32,20.4,91,5,1006.8,22,53
4,32,20.4,121,5,1006.8,22,53
3,33,2.17,81,5,1008.8,17,64
4,33,2.17,106,5,1008.8,17,64
3,33,2.28,95,5,1008.8,17,64
4,33,2.28,91,5,1008.8,17,64
3,33,2.37,110,5,1008.5,16,68
4,33,2.37,104,5,1008.5,16,68
3,33,2.47,93,5,1008.5,16,68
4,33,2.47,110,5,1008.5,16,68
3,33,2.57,94,5,1008.5,16,68
4,33,2.57,95,5,1008.5,16,68
3,33,2.65,96,5,1008.5,16,68
4,33,2.65,100,5,1008.5,16,68
